Date,High,Low,Open,Close,Volume,Adj Close
2020-03-24,2447.75,2230.5,2233.25,2438.0,2639522.0,2438.0
2020-03-25,2560.75,2386.0,2442.75,2467.0,3037767.0,2467.0
2020-03-26,2625.75,2402.25,2471.0,2608.0,2413913.0,2608.0
2020-03-27,2634.5,2505.25,2627.75,2524.0,2320755.0,2524.0
2020-03-30,2621.75,2445.0,2459.0,2611.25,1837692.0,2611.25
2020-03-31,2635.75,2555.75,2613.25,2569.75,2248012.0,2569.75
2020-04-01,2562.25,2434.25,2562.0,2448.0,2091378.0,2448.0
2020-04-02,2525.0,2424.75,2459.0,2516.5,2145458.0,2516.5
2020-04-03,2529.5,2449.0,2513.75,2482.75,1763886.0,2482.75
2020-04-06,2668.5,2484.75,2485.0,2644.5,2034419.0,2644.5
2020-04-07,2750.0,2623.5,2645.5,2642.0,2486524.0,2642.0
2020-04-08,2752.5,2620.75,2640.5,2735.0,1920688.0,2735.0
2020-04-09,2809.5,2701.0,2737.75,2779.75,2342733.0,2779.75
2020-04-13,2819.5,2711.0,2811.0,2759.25,1571402.0,2759.25
2020-04-14,2846.0,2752.5,2760.0,2843.0,1716496.0,2843.0
2020-04-15,2845.5,2751.25,2843.75,2775.0,1831570.0,2775.0
2020-04-16,2831.5,2746.0,2767.75,2787.5,1749108.0,2787.5
2020-04-17,2885.0,2821.0,2863.0,2870.0,1924019.0,2870.0
2020-04-20,2875.5,2804.25,2861.5,2806.5,1566934.0,2806.5
2020-04-21,2833.25,2717.25,2807.0,2732.0,1969844.0,2732.0
2020-04-22,2808.0,2717.25,2737.25,2788.5,1369529.0,2788.5
2020-04-23,2836.75,2772.75,2790.5,2780.75,1703918.0,2780.75
2020-04-24,2835.0,2755.25,2777.0,2829.5,1293756.0,2829.5
2020-04-27,2881.25,2812.75,2829.0,2869.0,1224445.0,2869.0
2020-04-28,2913.5,2851.0,2867.75,2867.25,1614021.0,2867.25
2020-04-29,2959.75,2860.75,2870.5,2941.0,1737371.0,2941.0
2020-04-30,2965.0,2878.0,2956.5,2902.5,2027924.0,2902.5
2020-05-01,2879.75,2811.75,2871.5,2821.75,1647259.0,2821.75
2020-05-04,2835.75,2771.0,2789.0,2825.25,1510680.0,2825.25
2020-05-05,2889.75,2824.5,2827.0,2858.25,1474765.0,2858.25
2020-05-06,2886.25,2832.0,2857.75,2833.5,1466641.0,2833.5
2020-05-07,2895.0,2823.0,2832.0,2880.0,1494330.0,2880.0
2020-05-08,2933.0,2879.75,2882.0,2928.5,1326254.0,2928.5
2020-05-11,2947.0,2889.75,2920.75,2922.75,1528302.0,2922.75
2020-05-12,2939.25,2838.0,2919.25,2852.5,1824303.0,2852.5
2020-05-13,2876.75,2786.0,2839.75,2813.0,2591379.0,2813.0
2020-05-14,2853.75,2760.25,2820.25,2847.0,2501222.0,2847.0
2020-05-15,2863.5,2809.5,2846.25,2846.5,1897194.0,2846.5
2020-05-18,2964.75,2850.0,2859.75,2948.0,1775433.0,2948.0
2020-05-19,2976.25,2914.25,2945.0,2918.75,1567224.0,2918.75
2020-05-20,2975.75,2908.5,2913.5,2968.5,1532404.0,2968.5
2020-05-21,2973.5,2933.0,2972.25,2937.0,1608225.0,2937.0
2020-05-22,2957.5,2903.75,2936.75,2953.0,1377263.0,2953.0
2020-05-26,3019.75,2947.5,2948.5,2994.5,1797241.0,2994.5
2020-05-27,3039.5,2965.5,2994.0,3035.5,2109332.0,3035.5
2020-05-28,3065.5,3019.5,3035.0,3038.0,1881295.0,3038.0
2020-05-29,3058.25,2992.0,3036.0,3042.0,2258009.0,3042.0
2020-06-01,3059.0,3008.0,3029.75,3054.0,1277803.0,3054.0
2020-06-02,3079.0,3035.0,3052.75,3077.0,1458830.0,3077.0
2020-06-03,3129.5,3074.25,3078.0,3117.75,1623708.0,3117.75
2020-06-04,3126.75,3087.5,3117.75,3110.5,1830904.0,3110.5
2020-06-05,3210.5,3106.5,3113.25,3186.75,2444330.0,3186.75
2020-06-08,3231.25,3183.25,3192.5,3227.5,1602601.0,3227.5
2020-06-09,3231.0,3190.0,3227.75,3205.5,1695764.0,3205.5
2020-06-10,3227.25,3179.75,3204.75,3186.0,1996065.0,3186.0
2020-06-11,3188.5,2996.25,3183.75,3010.25,3528726.0,3010.25
2020-06-12,3087.75,2982.0,3011.75,3034.75,2872339.0,3034.75
2020-06-15,3079.25,2935.0,2992.75,3073.0,1947459.0,3073.0
2020-06-16,3167.75,3071.25,3076.25,3128.75,1377224.0,3128.75
2020-06-17,3157.75,3105.0,3122.0,3118.0,610877.0,3118.0
2020-06-18,3130.5,3075.25,3115.0,3109.0,373718.0,3109.0
2020-06-19,3196.0,3106.75,3108.25,3161.260009765625,1952273.0,3161.260009765625
2020-06-22,3114.25,3027.25,3040.25,3110.75,1392325.0,3110.75
2020-06-23,3145.75,3060.0,3111.75,3118.5,1528485.0,3118.5
2020-06-24,3128.5,3019.75,3113.25,3049.0,2387916.0,3049.0
2020-06-25,3079.5,3005.0,3046.75,3070.75,1967245.0,3070.75
2020-06-26,3082.0,2992.5,3071.25,3007.0,2208418.0,3007.0
2020-06-29,3051.25,2983.5,2986.25,3047.75,1585146.0,3047.75
2020-06-30,3101.25,3030.25,3046.0,3090.25,1724164.0,3090.25
2020-07-01,3117.75,3062.75,3085.25,3103.0,1537321.0,3103.0
2020-07-02,3156.5,3095.5,3101.75,3129.0,1552517.0,3129.0
2020-07-06,3174.5,3105.75,3125.25,3172.0,1459512.0,3172.0
2020-07-07,3184.0,3132.5,3170.0,3136.5,1333466.0,3136.5
2020-07-08,3166.25,3125.5,3135.25,3163.5,1527612.0,3163.5
2020-07-09,3170.75,3105.25,3166.25,3141.0,1881833.0,3141.0
2020-07-10,3181.25,3111.5,3142.25,3178.5,1408591.0,3178.5
2020-07-13,3226.25,3140.5,3183.5,3148.25,2074726.0,3148.25
2020-07-14,3192.25,3119.0,3149.75,3183.5,2256766.0,3183.5
2020-07-15,3233.25,3192.0,3204.0,3219.5,1937696.0,3219.5
2020-07-16,3228.5,3188.5,3223.25,3194.5,1471311.0,3194.5
2020-07-17,3225.25,3194.75,3198.5,3214.0,1261113.0,3214.0
2020-07-20,3250.5,3190.25,3214.5,3245.25,1401168.0,3245.25
2020-07-21,3273.25,3239.25,3243.75,3251.25,1463931.0,3251.25
2020-07-22,3271.75,3227.25,3249.25,3265.5,1354244.0,3265.5
2020-07-23,3284.5,3214.25,3267.75,3227.5,1704453.0,3227.5
2020-07-24,3239.0,3191.5,3230.0,3204.0,1761346.0,3204.0
2020-07-27,3235.0,3192.0,3210.75,3232.25,1299512.0,3232.25
2020-07-28,3246.75,3208.0,3235.0,3213.0,1375293.0,3213.0
2020-07-29,3257.0,3204.25,3215.0,3252.5,1218031.0,3252.5
2020-07-30,3269.0,3195.0,3256.75,3248.75,2000721.0,3248.75
2020-07-31,3273.75,3212.5,3269.25,3263.5,2282794.0,3263.5
2020-08-03,3295.5,3254.75,3272.0,3288.5,1250449.0,3288.5
2020-08-04,3300.5,3271.0,3290.75,3300.0,1145269.0,3300.0
2020-08-05,3323.25,3292.0,3300.75,3316.0,1116787.0,3316.0
2020-08-06,3345.5,3300.5,3317.0,3344.25,1346665.0,3344.25
2020-08-07,3347.75,3322.25,3343.75,3344.75,1615367.0,3344.75
2020-08-10,3357.25,3329.0,3347.0,3352.75,1201751.0,3352.75
